,url,name,header,guests,bedrooms,beds,bathrooms,kitchen,wifi,free-parking,rating,review,Actual_price per,Total_price
37,/rooms/48089811?adults=4&check_in=2022-07-14&check_out=2022-07-18&previous_page_section_name=1000&federated_search_id=f57c586c-cc0e-4366-b999-c5d7dcd6edb3,Entire rental unit in Finkenberg,"Apartment 2 in Appartementhaus Zillertal near Ski Areas with Mountain View, Sauna, Wi-Fi & Parking",4,1,2,1,1,1,1,0,0,6519,32264
38,/rooms/608363106633522486?adults=4&check_in=2022-07-14&check_out=2022-07-18&previous_page_section_name=1000&federated_search_id=f57c586c-cc0e-4366-b999-c5d7dcd6edb3,Entire rental unit in Stans,Charmante Wohnung nähe Schwaz/Zillertal/Innsbruck,4,1,2,1,1,1,1,0,0,6027,24106
39,/rooms/36337683?adults=4&check_in=2022-07-14&check_out=2022-07-18&previous_page_section_name=1000&federated_search_id=f57c586c-cc0e-4366-b999-c5d7dcd6edb3,Entire rental unit in Rohrberg,Apartment Ines - 800 m from the ski resort,4,2,4,2.5,1,1,1,4.55,20,13203,52811
40,/rooms/21334724?adults=4&check_in=2022-07-14&check_out=2022-07-18&previous_page_section_name=1000&federated_search_id=1807da9e-4895-419d-9aae-e68a7e5f3dd2,Entire home in Finkenberg,The House of Niederegger,4,2,4,1.5,1,1,1,0,0,8244,37102
41,/rooms/46638678?adults=4&check_in=2022-07-14&check_out=2022-07-18&previous_page_section_name=1000&federated_search_id=1807da9e-4895-419d-9aae-e68a7e5f3dd2,Entire rental unit in Gerlosberg,Scenic Apartment in Zell am Ziller-Gerlosberg with Garden,5,2,3,3,1,1,0,5,5,8747,43239
42,/rooms/43961457?adults=4&check_in=2022-07-14&check_out=2022-07-18&previous_page_section_name=1000&federated_search_id=1807da9e-4895-419d-9aae-e68a7e5f3dd2,Entire rental unit in Finkenberg,Apartment Schmalzl - Balcony,6,2,5,1,1,1,1,4.73,26,11004,48967
43,/rooms/36807451?adults=4&check_in=2022-07-14&check_out=2022-07-18&previous_page_section_name=1000&federated_search_id=1807da9e-4895-419d-9aae-e68a7e5f3dd2,Entire rental unit in Schwendau,Modern Apartment in Schwendau with Garden,5,2,3,2,1,1,0,4.67,6,13846,55385
44,/rooms/51394541?adults=4&check_in=2022-07-14&check_out=2022-07-18&previous_page_section_name=1000&federated_search_id=1807da9e-4895-419d-9aae-e68a7e5f3dd2,Entire rental unit in Laimach,"""App 5 persons"" in the Apartment House Alpenjuwel near Ski Resorts with Wi-Fi, Balcony & Parking",5,1,3,1,1,1,1,0,0,7633,37710
45,/rooms/53056187?adults=4&check_in=2022-07-14&check_out=2022-07-18&previous_page_section_name=1000&federated_search_id=1807da9e-4895-419d-9aae-e68a7e5f3dd2,Private room in Schwendau,Quaint living at the Melcherhof,4,1,4,2,0,0,0,0,0,11315,45671
46,/rooms/53349437?adults=4&check_in=2022-07-14&check_out=2022-07-18&previous_page_section_name=1000&federated_search_id=1807da9e-4895-419d-9aae-e68a7e5f3dd2,Entire rental unit in Laimach,Apartment Rohrmoser,4,2,2,1,1,1,0,0,0,8768,40846
47,/rooms/29298572?adults=4&check_in=2022-07-14&check_out=2022-07-18&previous_page_section_name=1000&federated_search_id=1807da9e-4895-419d-9aae-e68a7e5f3dd2,Entire rental unit in Mayrhofen,Haus Holaus großes Appartement,5,2,0,1,1,1,1,0,0,11475,50850
48,/rooms/39723902?adults=4&check_in=2022-07-14&check_out=2022-07-18&previous_page_section_name=1000&federated_search_id=1807da9e-4895-419d-9aae-e68a7e5f3dd2,Entire rental unit in Finkenberg,Astegger Talhof,10,5,7,5,1,1,1,4.81,16,22775,96049
